item_id,system_id,correct
000f7eb997c349e6a151320ac59ce286,sys00,0
000f7eb997c349e6a151320ac59ce286,sys01,0
000f7eb997c349e6a151320ac59ce286,sys02,0
000f7eb997c349e6a151320ac59ce286,sys03,1
000f7eb997c349e6a151320ac59ce286,sys04,1
000f7eb997c349e6a151320ac59ce286,sys05,1
000f7eb997c349e6a151320ac59ce286,sys06,1
000f7eb997c349e6a151320ac59ce286,sys07,1
000f7eb997c349e6a151320ac59ce286,sys08,1
000f7eb997c349e6a151320ac59ce286,sys09,1
000f7eb997c349e6a151320ac59ce286,sys10,1
000f7eb997c349e6a151320ac59ce286,sys11,1
000f7eb997c349e6a151320ac59ce286,sys12,1
000f7eb997c349e6a151320ac59ce286,sys13,1
000f7eb997c349e6a151320ac59ce286,sys14,1
000f7eb997c349e6a151320ac59ce286,sys15,1
000f7eb997c349e6a151320ac59ce286,sys16,1
000f7eb997c349e6a151320ac59ce286,sys17,1
0018ad52002943bd80fe58f9ae79c4e0,sys00,1
0018ad52002943bd80fe58f9ae79c4e0,sys01,1
0018ad52002943bd80fe58f9ae79c4e0,sys02,1
0018ad52002943bd80fe58f9ae79c4e0,sys03,1
0018ad52002943bd80fe58f9ae79c4e0,sys04,1
0018ad52002943bd80fe58f9ae79c4e0,sys05,1
0018ad52002943bd80fe58f9ae79c4e0,sys06,1
0018ad52002943bd80fe58f9ae79c4e0,sys07,1
0018ad52002943bd80fe58f9ae79c4e0,sys08,1
0018ad52002943bd80fe58f9ae79c4e0,sys09,1
0018ad52002943bd80fe58f9ae79c4e0,sys10,1
0018ad52002943bd80fe58f9ae79c4e0,sys11,1
0018ad52002943bd80fe58f9ae79c4e0,sys12,1
0018ad52002943bd80fe58f9ae79c4e0,sys13,1
0018ad52002943bd80fe58f9ae79c4e0,sys14,1
0018ad52002943bd80fe58f9ae79c4e0,sys15,1
0018ad52002943bd80fe58f9ae79c4e0,sys16,1
0018ad52002943bd80fe58f9ae79c4e0,sys17,1
0053e7d27caa442a81b2d5782b31416d,sys00,0
0053e7d27caa442a81b2d5782b31416d,sys01,1
0053e7d27caa442a81b2d5782b31416d,sys02,1
0053e7d27caa442a81b2d5782b31416d,sys03,1
0053e7d27caa442a81b2d5782b31416d,sys04,1
0053e7d27caa442a81b2d5782b31416d,sys05,1
0053e7d27caa442a81b2d5782b31416d,sys06,0
0053e7d27caa442a81b2d5782b31416d,sys07,1
0053e7d27caa442a81b2d5782b31416d,sys08,1
0053e7d27caa442a81b2d5782b31416d,sys09,1
0053e7d27caa442a81b2d5782b31416d,sys10,1
0053e7d27caa442a81b2d5782b31416d,sys11,1
0053e7d27caa442a81b2d5782b31416d,sys12,0
0053e7d27caa442a81b2d5782b31416d,sys13,1
0053e7d27caa442a81b2d5782b31416d,sys14,1
0053e7d27caa442a81b2d5782b31416d,sys15,0
0053e7d27caa442a81b2d5782b31416d,sys16,1
0053e7d27caa442a81b2d5782b31416d,sys17,1
006aa8b658804b79b150ff3b548d28a9,sys00,1
006aa8b658804b79b150ff3b548d28a9,sys01,1
006aa8b658804b79b150ff3b548d28a9,sys02,1
006aa8b658804b79b150ff3b548d28a9,sys03,1
006aa8b658804b79b150ff3b548d28a9,sys04,1
006aa8b658804b79b150ff3b548d28a9,sys05,1
006aa8b658804b79b150ff3b548d28a9,sys06,1
006aa8b658804b79b150ff3b548d28a9,sys07,1
006aa8b658804b79b150ff3b548d28a9,sys08,1
006aa8b658804b79b150ff3b548d28a9,sys09,1
006aa8b658804b79b150ff3b548d28a9,sys10,1
006aa8b658804b79b150ff3b548d28a9,sys11,1
006aa8b658804b79b150ff3b548d28a9,sys12,1
006aa8b658804b79b150ff3b548d28a9,sys13,1
006aa8b658804b79b150ff3b548d28a9,sys14,1
006aa8b658804b79b150ff3b548d28a9,sys15,1
006aa8b658804b79b150ff3b548d28a9,sys16,1
006aa8b658804b79b150ff3b548d28a9,sys17,1
008ce2362c9f4489ad3bda7433ffbec2,sys00,1
008ce2362c9f4489ad3bda7433ffbec2,sys01,1
008ce2362c9f4489ad3bda7433ffbec2,sys02,1
008ce2362c9f4489ad3bda7433ffbec2,sys03,1
008ce2362c9f4489ad3bda7433ffbec2,sys04,1
008ce2362c9f4489ad3bda7433ffbec2,sys05,1
008ce2362c9f4489ad3bda7433ffbec2,sys06,1
008ce2362c9f4489ad3bda7433ffbec2,sys07,1
008ce2362c9f4489ad3bda7433ffbec2,sys08,1
008ce2362c9f4489ad3bda7433ffbec2,sys09,1
008ce2362c9f4489ad3bda7433ffbec2,sys10,1
008ce2362c9f4489ad3bda7433ffbec2,sys11,1
008ce2362c9f4489ad3bda7433ffbec2,sys12,1
008ce2362c9f4489ad3bda7433ffbec2,sys13,1
008ce2362c9f4489ad3bda7433ffbec2,sys14,1
008ce2362c9f4489ad3bda7433ffbec2,sys15,1
008ce2362c9f4489ad3bda7433ffbec2,sys16,1
008ce2362c9f4489ad3bda7433ffbec2,sys17,1
00b670ef25614edf81e9df00bbe2a385,sys00,1
00b670ef25614edf81e9df00bbe2a385,sys01,1
00b670ef25614edf81e9df00bbe2a385,sys02,1
00b670ef25614edf81e9df00bbe2a385,sys03,0
00b670ef25614edf81e9df00bbe2a385,sys04,1
00b670ef25614edf81e9df00bbe2a385,sys05,1
00b670ef25614edf81e9df00bbe2a385,sys06,0
00b670ef25614edf81e9df00bbe2a385,sys07,1
00b670ef25614edf81e9df00bbe2a385,sys08,1
00b670ef25614edf81e9df00bbe2a385,sys09,0
00b670ef25614edf81e9df00bbe2a385,sys10,1
00b670ef25614edf81e9df00bbe2a385,sys11,1
00b670ef25614edf81e9df00bbe2a385,sys12,0
00b670ef25614edf81e9df00bbe2a385,sys13,0
00b670ef25614edf81e9df00bbe2a385,sys14,1
00b670ef25614edf81e9df00bbe2a385,sys15,0
00b670ef25614edf81e9df00bbe2a385,sys16,0
00b670ef25614edf81e9df00bbe2a385,sys17,0
00bf20c86049411695f7a4f300e9aca5,sys00,1
00bf20c86049411695f7a4f300e9aca5,sys01,1
00bf20c86049411695f7a4f300e9aca5,sys02,1
00bf20c86049411695f7a4f300e9aca5,sys03,1
00bf20c86049411695f7a4f300e9aca5,sys04,1
00bf20c86049411695f7a4f300e9aca5,sys05,1
00bf20c86049411695f7a4f300e9aca5,sys06,1
00bf20c86049411695f7a4f300e9aca5,sys07,1
00bf20c86049411695f7a4f300e9aca5,sys08,1
00bf20c86049411695f7a4f300e9aca5,sys09,1
00bf20c86049411695f7a4f300e9aca5,sys10,1
00bf20c86049411695f7a4f300e9aca5,sys11,1
00bf20c86049411695f7a4f300e9aca5,sys12,1
00bf20c86049411695f7a4f300e9aca5,sys13,1
00bf20c86049411695f7a4f300e9aca5,sys14,1
00bf20c86049411695f7a4f300e9aca5,sys15,1
00bf20c86049411695f7a4f300e9aca5,sys16,1
00bf20c86049411695f7a4f300e9aca5,sys17,1
00c57d8cc5224400ab44a61bc1bfaba1,sys00,0
00c57d8cc5224400ab44a61bc1bfaba1,sys01,0
00c57d8cc5224400ab44a61bc1bfaba1,sys02,1
00c57d8cc5224400ab44a61bc1bfaba1,sys03,0
00c57d8cc5224400ab44a61bc1bfaba1,sys04,0
00c57d8cc5224400ab44a61bc1bfaba1,sys05,1
00c57d8cc5224400ab44a61bc1bfaba1,sys06,0
00c57d8cc5224400ab44a61bc1bfaba1,sys07,0
00c57d8cc5224400ab44a61bc1bfaba1,sys08,0
00c57d8cc5224400ab44a61bc1bfaba1,sys09,0
00c57d8cc5224400ab44a61bc1bfaba1,sys10,0
00c57d8cc5224400ab44a61bc1bfaba1,sys11,1
00c57d8cc5224400ab44a61bc1bfaba1,sys12,0
00c57d8cc5224400ab44a61bc1bfaba1,sys13,0
00c57d8cc5224400ab44a61bc1bfaba1,sys14,0
00c57d8cc5224400ab44a61bc1bfaba1,sys15,0
00c57d8cc5224400ab44a61bc1bfaba1,sys16,0
00c57d8cc5224400ab44a61bc1bfaba1,sys17,1
00da6042116f416da87a8da4a1e2909a,sys00,1
00da6042116f416da87a8da4a1e2909a,sys01,1
00da6042116f416da87a8da4a1e2909a,sys02,1
00da6042116f416da87a8da4a1e2909a,sys03,1
00da6042116f416da87a8da4a1e2909a,sys04,1
00da6042116f416da87a8da4a1e2909a,sys05,1
00da6042116f416da87a8da4a1e2909a,sys06,1
00da6042116f416da87a8da4a1e2909a,sys07,1
00da6042116f416da87a8da4a1e2909a,sys08,1
00da6042116f416da87a8da4a1e2909a,sys09,1
00da6042116f416da87a8da4a1e2909a,sys10,1
00da6042116f416da87a8da4a1e2909a,sys11,1
